key,title,triggers,response,suggestions,tags
butch-identity,Who Is Butch,"who are you|who is butch|what is butch|what can butch do|introduce yourself|what do you help with","I'm Butch — Shiloh Ridge Farm's product and cut specialist. I help with whole and half hog and lamb orders: estimating yields, explaining cuts, planning freezer space, and walking you through the ordering process. For livestock availability and breeding questions, ask Shep.","Calculate a whole hog|What cuts come from a lamb?|How much freezer space?","identity|navigation"
butch-vs-shep,Butch vs Shep,"difference between shep and butch|shep vs butch|which one do i use|who handles what|shep or butch","Shep handles general farm questions, livestock browsing, and contact info. Butch handles meat products — whole and half animal orders, cut breakdowns, yield estimates, and freezer planning. If Shep can't answer a product question, he'll send you to me.","Go to Shep|Calculate a whole hog|Go to Products","navigation|identity"
butch-greeting,Greeting,"hello butch|hi butch|hey butch|good morning|hey|hello","Hey! I'm Butch — Shiloh Ridge's cut specialist. Tell me what you're after: hog, lamb, or just need help figuring out how much meat you're looking at. What can I help you plan?","I want a whole hog|Tell me about lamb cuts|How much freezer space?","greeting"
butch-helps-with,What Butch Helps With,"what do you help with|what can you answer|what are you good at|what do you know","I handle meat products: yield estimates, cut breakdowns, freezer planning, pricing questions (routed to live data), ordering steps, and cooking guidance. I don't handle livestock sales, breeding stock, or farm operations — that's Shep's territory.","Calculate a whole hog|What cuts from a half lamb?|Go to Products","navigation|identity"
butch-cant-help,What Butch Can't Do,"what can't you do|limitations|what don't you know|what won't you answer","I don't handle livestock availability, breeding records, animal health, or live pricing — those pull from live data or go to Dominic directly. I won't make up prices or inventory. When I don't know, I say so and log it.","Ask Shep|Contact Us","navigation|boundaries"
butch-calc-use,How the Calculator Works,"calculator|how does the calculator work|what is the yield calculator|estimate my order","Tell me the animal and order size — whole or half hog, whole or half lamb — and I'll give you estimated hanging weight, take-home weight, and a cut-by-cut breakdown. It's based on real farm averages, so treat it as a planning range, not a guarantee.","Calculate a whole hog|Calculate a half lamb","navigation|calculator"
butch-order-start,How to Start an Order,"where do i start|how do i begin|first step|i want to order","Start by picking your animal and order size: whole hog, half hog, whole lamb, or half lamb. I can estimate what you'll get before you commit. Then head to the Products page to place the actual order, or contact Dominic directly.","Calculate a whole hog|Go to Products|Contact Us","navigation|ordering"
butch-profile-memory,Does Butch Remember Me,"do you remember me|do you keep records|returning customer|previous order|order history|my email","If you share your email, I can pull up prior order details from your profile. New here? I start fresh — no history yet.","I want to place an order|Contact Us","navigation|profile"
pork-whole-hog,Whole Hog Order,"whole hog|buy a whole hog|purchase a whole hog|full hog|entire hog|whole pig","A whole hog order means you get the full animal processed to your cut specifications. Typical hanging weight runs 180–220 lbs, and you take home roughly 130–160 lbs of finished cuts depending on your choices. Ask me for a full estimate.","Calculate a whole hog|What cuts from a whole hog?","pork|buying|whole-hog"
pork-half-hog,Half Hog Order,"half hog|buy a half hog|purchase half a hog|split hog|half pig","A half hog splits the animal lengthwise. Typical hanging weight is 90–110 lbs, and you take home roughly 65–80 lbs of finished cuts. A good option if a whole hog is more than your family needs.","Calculate a half hog|What cuts from a half hog?","pork|buying|half-hog"
pork-how-much-meat,How Much Meat from a Hog,"how much meat from a hog|yield from a hog|take home weight|how many pounds|pork yield","A whole hog typically yields 130–160 lbs finished. A half hog yields 65–80 lbs. Exact amount depends on the animal's size and how you choose to have it cut. Ask me for a yield estimate based on typical farm weights.","Calculate a whole hog|How much freezer space?","pork|yield|education"
pork-whole-vs-half,Whole vs Half Hog,"whole hog vs half|should i get whole or half|difference between whole and half|is whole better than half","Whole hog is a better per-pound value and gives you more variety. Half hog is better if you have limited freezer space or want to try farm-raised pork before committing to a full animal. Both come with a custom cut sheet.","Calculate a whole hog|Calculate a half hog","pork|comparison|buying"
pork-family-size,Family Size for Hog,"how many people does a hog feed|feed a family|how long does it last|enough for family","A whole hog typically provides a family of four with several months of pork — chops, roasts, bacon, sausage, ribs, and more. A half hog is often enough for a smaller family or to supplement your regular grocery shopping.","Calculate a whole hog|How much freezer space?","pork|planning|family"
pork-first-time,First Time Buying a Hog,"never bought a whole hog|first time|new to buying farm meat|don't know where to start|first purchase","No worries — most people haven't done this before. Here's the short version: pick whole or half, we schedule processing, you fill out a cut sheet, and pick up your packaged meat. I can walk you through the estimate and what to expect step by step.","Calculate a whole hog|What is a cut sheet?|Go to Products","pork|first-time|education"
pork-what-cuts,What Cuts from a Hog,"what cuts do i get|hog cuts|pork cuts|list of cuts|what comes from a hog","From a hog you typically get: pork chops, shoulder roasts, hams, bacon (belly), sausage, ribs, hocks, and soup bones. Exact cut breakdown depends on your cut sheet choices. Ask me for a full cut-by-cut estimate.","Calculate a whole hog|Calculate a half hog","pork|cuts|education"
pork-how-raised,How Hogs Are Raised,"how are the hogs raised|pasture raised pork|farm raised pork|how do you raise pigs","Our hogs are raised on the farm in Maitland, Missouri — not in a commercial facility. Farm-raised on pasture with good feed.","Tell Me About the Farm|Go to Products","pork|practices|education"
pork-fresh-frozen,Fresh or Frozen Pork,"is it fresh or frozen|how is it packaged|vacuum sealed|paper wrap|packaging","All processed meat is packaged and frozen at the processor. It arrives at pickup in good frozen condition, ready for your freezer. Packaging method depends on the processor.","Go to Products|How much freezer space?","pork|packaging|logistics"
pork-quality,Pork Quality,"how good is the pork|is it good quality|is farm pork better|quality of meat","Farm-raised pork from animals you can trace to a known farm is genuinely different from commodity grocery pork — better fat distribution, real flavor, and no mystery about how it was raised.","Why Buy Local?|Go to Products","pork|quality|trust"
lamb-whole,Whole Lamb Order,"whole lamb|buy a whole lamb|purchase a whole lamb|full lamb|entire lamb","A whole lamb gives you the full carcass processed to your cut specs. Katahdin lambs typically hang at 45–65 lbs and yield about 30–44 lbs of finished cuts. I can run a full estimate.","Calculate a whole lamb|What cuts from a lamb?","lamb|buying|whole-lamb"
lamb-half,Half Lamb Order,"half lamb|buy a half lamb|purchase half a lamb|split lamb","A half lamb is half the carcass. Typical hanging weight 22–32 lbs, take-home around 15–22 lbs. A good way to try lamb without committing to a whole animal.","Calculate a half lamb|What cuts from a half lamb?","lamb|buying|half-lamb"
