key,title,triggers,response,suggestions,tags
shep-identity,Who Is Shep,"your name|who are you|what are you|what is your name|introduce yourself|what can you do|what do you know","I'm Shep, the assistant for Shiloh Ridge Farm. I can help with questions about our Katahdin sheep, livestock for sale, farm products, ordering, location, and anything else about the farm. For detailed cut planning and pricing, ask Butch on the Products page.","Tell me about the farm|View Livestock|Go to Products","identity|general"
about-farm,About Shiloh Ridge Farm,"about the farm|tell me about|shiloh ridge|what is this farm|what kind of farm|what do you raise|what do you farm","Shiloh Ridge Farm is a Katahdin sheep and livestock operation in Maitland, Missouri, run by Dominic Hanway. We raise registered Katahdin hair sheep alongside hogs, focusing on quality breeding stock, farm-raised meat products, and direct sales to families and buyers across the region.","View Livestock|Go to Products|Contact Us","farm|about"
katahdin-breed,Katahdin Sheep,"katahdin|hair sheep|what breed|breed of sheep|no wool|shed their coat|parasite|khsi|registered sheep","Katahdin sheep are a low-maintenance hair breed — they naturally shed their coat every spring so there's no shearing needed. They're known for excellent meat quality, strong maternal instincts, and parasite resistance, which makes them well-suited for Missouri's climate. Our flock is KHSI-registered breeding stock.","View Livestock|Learn More on Katahdin Page|Contact About Breeding Stock","katahdin|breed|sheep"
livestock-available,Livestock For Sale,"sheep for sale|animals for sale|buy a sheep|buy sheep|buy livestock|available animals|what animals|breeding stock|ewe|ram|lamb for sale","We have Katahdin sheep and other livestock available. The Livestock page has our current inventory with photos, details, and pricing for each animal. You can submit an inquiry or offer directly from any listing.","View Livestock|Contact About an Animal|Ask About Breeding Stock","livestock|sales"
farm-location,Farm Location,"where are you|where is the farm|location|address|directions|how to find|maitland|missouri|how to get there|visit the farm","Shiloh Ridge Farm is located at 20705 Quebec Road, Maitland, Missouri 64466. You can get directions on our About page, which includes a map. We recommend contacting us before visiting to confirm availability.","Get Directions|Contact Us|View About Page","location|visit"
contact-info,Contact Information,"contact|phone number|email|reach you|talk to someone|get in touch|call you|dominic|how to contact","You can reach Shiloh Ridge Farm by email at shilohridgefarm@gmail.com or contact Dominic directly at dominichanway@gmail.com. Phone: (660) 254-6226. The Contact page also has a form for inquiries, offers, and purchase requests.","Go to Contact Page|Submit an Inquiry","contact|email|phone"
products-overview,Farm Products,"what do you sell|products|meat products|farm products|buy meat|pork|lamb meat|what products","We sell farm-raised pork and lamb from our own livestock. Products include whole and half hog orders, whole and half lamb orders, with custom cut options. Check the Products page for current availability, or ask Butch for a detailed cut estimate and pricing.","Go to Products|Bring in Butch|I want a whole hog","products|meat"
how-to-order,How To Order,"how do i order|how to order|place an order|how can i buy|how do i purchase|ordering process","You can browse products on the Products page and add items to your cart, or submit a custom order request. For whole or half hog and lamb orders, ask Butch for a full cut breakdown and estimate first. Share your email and I can remember your order history for future visits.","I want a whole hog|What do I get from a half lamb?|Go to Products","ordering|checkout"
freezer-space,Freezer Space,"freezer space|how much freezer|how much room|how big freezer|freezer size","A whole hog typically needs 8–10 cubic feet of freezer space, and a whole lamb needs about 3–4 cubic feet. Exact space depends on your cut choices and packaging style.","Estimate a whole hog|Estimate a whole lamb","storage|planning"
processing-timeline,Processing Timeline,"lead time|when ready|processing time|how fast|how long does it take|wait time","Orders are pre-order based. Final timing depends on production schedule and processor availability. Lead times are shown on each product listing, and Dominic follows up directly once your order is scheduled.","Go to Products|I want to place an order","processing|timing"
